bias_type,metric,used_threshold,fairness_bugs,total_cases,fail_rate
nationality,LSA_similarity,0.9,992,1280,77.5
physical-appearance,BERT_similarity,0.8,2,1020,0.19607843137254902
physical-appearance,BERT_similarity,0.9,90,1020,8.823529411764707
physical-appearance,LDA_similarity,0.1,6,1020,0.5882352941176471
physical-appearance,LDA_similarity,0.2,19,1020,1.8627450980392157
physical-appearance,LDA_similarity,0.4,67,1020,6.568627450980393
physical-appearance,LDA_similarity,0.5,103,1020,10.098039215686274
physical-appearance,LDA_similarity,0.6,171,1020,16.76470588235294
physical-appearance,LDA_similarity,0.8,367,1020,35.98039215686274
physical-appearance,LDA_similarity,0.9,600,1020,58.82352941176471
physical-appearance,LSA_similarity,0.4,9,1020,0.8823529411764706
physical-appearance,LSA_similarity,0.5,32,1020,3.1372549019607843
physical-appearance,LSA_similarity,0.6,86,1020,8.431372549019608
physical-appearance,LSA_similarity,0.8,468,1020,45.88235294117647
physical-appearance,LSA_similarity,0.9,858,1020,84.11764705882354
race-color,BERT_similarity,0.8,12,1448,0.8287292817679558
race-color,BERT_similarity,0.9,229,1448,15.814917127071823
race-color,LDA_similarity,0.1,20,1448,1.3812154696132597
race-color,LDA_similarity,0.2,45,1448,3.1077348066298343
race-color,LDA_similarity,0.4,154,1448,10.6353591160221
race-color,LDA_similarity,0.5,255,1448,17.61049723756906
race-color,LDA_similarity,0.6,376,1448,25.96685082872928
race-color,LDA_similarity,0.8,763,1448,52.693370165745854
race-color,LDA_similarity,0.9,1055,1448,72.85911602209944
race-color,LSA_similarity,0.4,19,1448,1.3121546961325967
race-color,LSA_similarity,0.5,67,1448,4.62707182320442
race-color,LSA_similarity,0.6,198,1448,13.674033149171272
race-color,LSA_similarity,0.8,894,1448,61.74033149171271
race-color,LSA_similarity,0.9,1281,1448,88.46685082872928
religion,BERT_similarity,0.8,1,1182,0.08460236886632826
religion,BERT_similarity,0.9,227,1182,19.204737732656515
religion,LDA_similarity,0.1,12,1182,1.015228426395939
religion,LDA_similarity,0.2,35,1182,2.961082910321489
religion,LDA_similarity,0.4,105,1182,8.883248730964468
religion,LDA_similarity,0.5,165,1182,13.959390862944163
religion,LDA_similarity,0.6,237,1182,20.050761421319795
religion,LDA_similarity,0.8,494,1182,41.793570219966156
religion,LDA_similarity,0.9,728,1182,61.59052453468698
religion,LSA_similarity,0.2,1,1182,0.08460236886632826
religion,LSA_similarity,0.4,29,1182,2.4534686971235193
religion,LSA_similarity,0.5,132,1182,11.16751269035533
religion,LSA_similarity,0.6,298,1182,25.211505922165824
religion,LSA_similarity,0.8,890,1182,75.29610829103216
religion,LSA_similarity,0.9,1115,1182,94.331641285956
sexual-orientation,BERT_similarity,0.8,1,1116,0.08960573476702509
sexual-orientation,BERT_similarity,0.9,99,1116,8.870967741935484
sexual-orientation,LDA_similarity,0.1,9,1116,0.8064516129032258
sexual-orientation,LDA_similarity,0.2,20,1116,1.7921146953405016
sexual-orientation,LDA_similarity,0.4,108,1116,9.67741935483871
sexual-orientation,LDA_similarity,0.5,165,1116,14.78494623655914
sexual-orientation,LDA_similarity,0.6,270,1116,24.193548387096776
sexual-orientation,LDA_similarity,0.8,584,1116,52.32974910394266
sexual-orientation,LDA_similarity,0.9,837,1116,75.0
sexual-orientation,LSA_similarity,0.4,6,1116,0.5376344086021506
sexual-orientation,LSA_similarity,0.5,38,1116,3.405017921146954
sexual-orientation,LSA_similarity,0.6,135,1116,12.096774193548388
sexual-orientation,LSA_similarity,0.8,699,1116,62.634408602150536
sexual-orientation,LSA_similarity,0.9,1010,1116,90.50179211469535
socioeconomic,BERT_similarity,0.8,4,1300,0.3076923076923077
socioeconomic,BERT_similarity,0.9,221,1300,17.0
socioeconomic,LDA_similarity,0.1,24,1300,1.8461538461538463
socioeconomic,LDA_similarity,0.2,51,1300,3.923076923076923
socioeconomic,LDA_similarity,0.4,171,1300,13.153846153846155
socioeconomic,LDA_similarity,0.5,281,1300,21.615384615384613
socioeconomic,LDA_similarity,0.6,406,1300,31.23076923076923
socioeconomic,LDA_similarity,0.8,770,1300,59.23076923076923
socioeconomic,LDA_similarity,0.9,1019,1300,78.38461538461539
socioeconomic,LSA_similarity,0.4,13,1300,1.0
socioeconomic,LSA_similarity,0.5,50,1300,3.8461538461538463
socioeconomic,LSA_similarity,0.6,207,1300,15.923076923076923
socioeconomic,LSA_similarity,0.8,836,1300,64.3076923076923
socioeconomic,LSA_similarity,0.9,1156,1300,88.92307692307693
