bias_type,metric,used_threshold,fairness_bugs,total_cases,fail_rate
gender,LDA_similarity,0.9,1084,1372,79.00874635568513
gender,LSA_similarity,0.1,2,1372,0.1457725947521866
gender,LSA_similarity,0.2,17,1372,1.239067055393586
gender,LSA_similarity,0.4,164,1372,11.9533527696793
gender,LSA_similarity,0.5,319,1372,23.25072886297376
gender,LSA_similarity,0.6,553,1372,40.30612244897959
gender,LSA_similarity,0.8,1108,1372,80.75801749271136
gender,LSA_similarity,0.9,1308,1372,95.33527696793003
nationality,BERT_similarity,0.8,42,1280,3.28125
nationality,BERT_similarity,0.9,379,1280,29.609375
nationality,LDA_similarity,0.1,36,1280,2.8125
nationality,LDA_similarity,0.2,76,1280,5.9375
nationality,LDA_similarity,0.4,197,1280,15.390625
nationality,LDA_similarity,0.5,274,1280,21.40625
nationality,LDA_similarity,0.6,371,1280,28.984375
nationality,LDA_similarity,0.8,691,1280,53.98437499999999
nationality,LDA_similarity,0.9,964,1280,75.3125
nationality,LSA_similarity,0.1,1,1280,0.078125
nationality,LSA_similarity,0.2,4,1280,0.3125
nationality,LSA_similarity,0.4,45,1280,3.515625
nationality,LSA_similarity,0.5,96,1280,7.5
nationality,LSA_similarity,0.6,221,1280,17.265625
nationality,LSA_similarity,0.8,690,1280,53.90625
nationality,LSA_similarity,0.9,1095,1280,85.546875
physical-appearance,BERT_similarity,0.5,1,1020,0.09803921568627451
physical-appearance,BERT_similarity,0.6,1,1020,0.09803921568627451
physical-appearance,BERT_similarity,0.8,17,1020,1.6666666666666667
physical-appearance,BERT_similarity,0.9,214,1020,20.980392156862745
physical-appearance,LDA_similarity,0.1,30,1020,2.941176470588235
physical-appearance,LDA_similarity,0.2,60,1020,5.88235294117647
physical-appearance,LDA_similarity,0.4,160,1020,15.686274509803921
physical-appearance,LDA_similarity,0.5,227,1020,22.254901960784313
physical-appearance,LDA_similarity,0.6,293,1020,28.72549019607843
physical-appearance,LDA_similarity,0.8,526,1020,51.5686274509804
physical-appearance,LDA_similarity,0.9,726,1020,71.17647058823529
physical-appearance,LSA_similarity,0.2,2,1020,0.19607843137254902
physical-appearance,LSA_similarity,0.4,29,1020,2.843137254901961
physical-appearance,LSA_similarity,0.5,101,1020,9.901960784313726
physical-appearance,LSA_similarity,0.6,223,1020,21.862745098039216
physical-appearance,LSA_similarity,0.8,632,1020,61.96078431372549
physical-appearance,LSA_similarity,0.9,920,1020,90.19607843137256
race-color,BERT_similarity,0.5,1,1447,0.0691085003455425
race-color,BERT_similarity,0.6,1,1447,0.0691085003455425
race-color,BERT_similarity,0.8,26,1447,1.796821008984105
race-color,BERT_similarity,0.9,333,1447,23.013130615065652
race-color,LDA_similarity,0.1,55,1447,3.8009675190048373
race-color,LDA_similarity,0.2,100,1447,6.91085003455425
race-color,LDA_similarity,0.4,248,1447,17.138908085694542
race-color,LDA_similarity,0.5,336,1447,23.22045611610228
race-color,LDA_similarity,0.6,475,1447,32.82653766413269
race-color,LDA_similarity,0.8,818,1447,56.53075328265377
race-color,LDA_similarity,0.9,1080,1447,74.63718037318591
race-color,LSA_similarity,0.1,2,1447,0.138217000691085
race-color,LSA_similarity,0.2,4,1447,0.27643400138217
race-color,LSA_similarity,0.4,93,1447,6.427090532135453
race-color,LSA_similarity,0.5,239,1447,16.516931582584657
race-color,LSA_similarity,0.6,477,1447,32.96475466482377
race-color,LSA_similarity,0.8,1045,1447,72.21838286109191
race-color,LSA_similarity,0.9,1326,1447,91.63787145818935
religion,BERT_similarity,0.8,14,1182,1.1844331641285957
religion,BERT_similarity,0.9,287,1182,24.28087986463621
religion,LDA_similarity,0.1,46,1182,3.8917089678511
religion,LDA_similarity,0.2,88,1182,7.4450084602368864
religion,LDA_similarity,0.4,199,1182,16.83587140439932
religion,LDA_similarity,0.5,262,1182,22.165820642978005
religion,LDA_similarity,0.6,345,1182,29.187817258883246
religion,LDA_similarity,0.8,626,1182,52.96108291032149
religion,LDA_similarity,0.9,854,1182,72.25042301184433
religion,LSA_similarity,0.2,5,1182,0.4230118443316413
religion,LSA_similarity,0.4,69,1182,5.83756345177665
religion,LSA_similarity,0.5,207,1182,17.512690355329948
religion,LSA_similarity,0.6,425,1182,35.95600676818951
religion,LSA_similarity,0.8,953,1182,80.62605752961083
religion,LSA_similarity,0.9,1146,1182,96.95431472081218
sexual-orientation,BERT_similarity,0.4,1,1116,0.08960573476702509
sexual-orientation,BERT_similarity,0.5,1,1116,0.08960573476702509
sexual-orientation,BERT_similarity,0.6,1,1116,0.08960573476702509
sexual-orientation,BERT_similarity,0.8,23,1116,2.0609318996415773
sexual-orientation,BERT_similarity,0.9,170,1116,15.232974910394265
sexual-orientation,LDA_similarity,0.1,32,1116,2.867383512544803
sexual-orientation,LDA_similarity,0.2,59,1116,5.28673835125448
sexual-orientation,LDA_similarity,0.4,153,1116,13.709677419354838
sexual-orientation,LDA_similarity,0.5,220,1116,19.71326164874552
sexual-orientation,LDA_similarity,0.6,320,1116,28.673835125448026
sexual-orientation,LDA_similarity,0.8,544,1116,48.74551971326165
sexual-orientation,LDA_similarity,0.9,753,1116,67.47311827956989
sexual-orientation,LSA_similarity,0.1,1,1116,0.08960573476702509
sexual-orientation,LSA_similarity,0.2,9,1116,0.8064516129032258
sexual-orientation,LSA_similarity,0.4,69,1116,6.182795698924731
sexual-orientation,LSA_similarity,0.5,173,1116,15.50179211469534
sexual-orientation,LSA_similarity,0.6,353,1116,31.630824372759857
sexual-orientation,LSA_similarity,0.8,848,1116,75.98566308243727
sexual-orientation,LSA_similarity,0.9,1049,1116,93.99641577060932
socioeconomic,BERT_similarity,0.8,23,1300,1.7692307692307692
socioeconomic,BERT_similarity,0.9,371,1300,28.53846153846154
socioeconomic,LDA_similarity,0.1,49,1300,3.769230769230769
socioeconomic,LDA_similarity,0.2,122,1300,9.384615384615385
socioeconomic,LDA_similarity,0.4,297,1300,22.846153846153847
socioeconomic,LDA_similarity,0.5,420,1300,32.30769230769231
socioeconomic,LDA_similarity,0.6,559,1300,43.0
socioeconomic,LDA_similarity,0.8,889,1300,68.38461538461539
socioeconomic,LDA_similarity,0.9,1088,1300,83.6923076923077
socioeconomic,LSA_similarity,0.2,2,1300,0.15384615384615385
socioeconomic,LSA_similarity,0.4,63,1300,4.846153846153846
socioeconomic,LSA_similarity,0.5,169,1300,13.0
socioeconomic,LSA_similarity,0.6,390,1300,30.0
socioeconomic,LSA_similarity,0.8,947,1300,72.84615384615385
socioeconomic,LSA_similarity,0.9,1210,1300,93.07692307692308
